ARQUETIPOS 27
2 1 2 2 31 0.533
2 2 1 3 32 0.320
3 1 1 1 21 0.423
3 3 2 3 38 0.230
3 1 2 3 29 0.285
2 3 3 3 39 0.210
2 1 3 3 43 0.190
2 3 2 3 27 0.302
1 3 1 3 29 0.266
3 2 3 3 27 0.280
1 1 2 3 27 0.276
3 1 3 3 35 0.164
1 1 3 3 40 0.120
3 3 1 3 37 0.185
3 3 3 3 30 0.183
2 1 1 3 37 0.086
3 2 1 3 30 0.244
2 2 2 3 36 0.151
1 3 2 3 33 0.195
1 1 1 3 35 0.188
3 2 2 3 30 0.244
1 3 3 3 35 0.194
2 3 1 3 27 0.272
1 2 2 3 28 0.129
2 2 3 3 42 0.150
1 2 1 3 32 0.169
1 2 3 3 41 0.153
DINAMICAS 526
2 1 1 2 1 1 1 8 0.938
2 2 3 2 2 2 2 7 0.929
2 2 3 2 2 3 2 6 0.917
3 3 2 3 3 1 3 5 0.900
2 3 3 3 1 2 1 5 0.900
3 2 2 1 2 3 2 5 0.900
2 1 2 2 1 1 1 5 0.900
1 3 3 3 2 3 2 5 0.900
1 1 3 1 1 1 1 5 0.900
2 1 1 2 1 2 1 5 0.900
1 3 3 3 3 2 3 2 0.750
1 1 2 1 2 1 2 3 0.833
1 3 1 3 1 2 1 1 0.500
1 1 3 1 3 3 3 2 0.750
2 1 3 3 1 3 1 1 0.500
1 1 3 3 2 1 2 2 0.750
3 3 1 3 3 2 3 3 0.833
2 1 2 2 3 3 3 3 0.833
1 2 1 1 3 2 3 1 0.500
3 3 2 1 1 1 1 1 0.500
1 2 1 2 1 3 1 1 0.500
3 1 2 1 1 1 1 1 0.500
1 3 3 2 1 3 1 3 0.833
3 1 3 2 1 1 1 1 0.500
3 2 1 3 2 2 2 1 0.500
2 3 2 1 1 2 1 1 0.500
2 2 2 3 2 3 2 1 0.500
1 3 2 2 3 1 3 2 0.750
1 1 1 2 1 3 1 2 0.750
2 1 3 3 2 2 2 1 0.500
2 1 3 2 1 3 1 4 0.875
2 1 1 3 3 2 3 1 0.500
3 2 2 3 3 1 3 2 0.750
3 2 3 2 2 3 2 3 0.833
2 3 1 1 3 1 3 3 0.833
2 1 3 1 2 2 2 2 0.750
3 2 2 2 1 3 1 1 0.500
2 1 3 2 3 2 3 1 0.500
3 3 1 3 1 3 1 1 0.500
3 3 2 1 3 2 3 2 0.750
