ARQUETIPOS 27
2 1 3 2 31 0.358
1 2 1 1 44 0.243
2 3 2 1 32 0.304
3 3 2 1 26 0.372
3 2 3 1 37 0.254
2 3 3 2 26 0.358
2 1 1 1 36 0.249
3 2 1 1 32 0.275
1 3 1 1 34 0.254
1 3 3 1 26 0.323
1 1 2 1 39 0.200
2 1 2 1 27 0.293
1 2 2 1 29 0.195
1 1 3 1 42 0.188
3 1 2 1 40 0.139
3 3 1 1 42 0.167
2 2 2 1 33 0.115
3 1 1 1 38 0.111
1 1 1 1 46 0.125
2 2 3 1 34 0.134
1 3 2 1 21 0.287
3 1 3 1 26 0.278
2 3 1 1 45 0.137
2 2 1 1 31 0.108
3 3 3 1 25 0.147
3 2 2 1 26 0.127
1 2 3 1 23 0.290
DINAMICAS 494
3 3 1 3 3 1 3 7 0.929
2 3 1 2 3 2 3 6 0.917
1 3 3 3 1 1 1 6 0.917
2 3 1 1 3 3 3 6 0.917
3 2 1 3 2 2 2 6 0.917
3 2 2 3 2 1 2 6 0.917
2 3 1 2 3 1 3 5 0.900
1 1 3 1 1 2 1 5 0.900
1 1 2 1 3 1 3 5 0.900
2 3 2 2 3 1 3 5 0.900
3 2 2 3 1 1 1 2 0.750
3 1 1 1 1 3 1 2 0.750
1 1 3 2 1 2 1 2 0.750
3 2 2 2 2 3 2 2 0.750
2 1 3 2 1 2 1 4 0.875
2 1 2 1 3 1 3 3 0.833
3 1 1 3 1 2 1 1 0.500
1 2 2 3 3 1 3 1 0.500
2 3 1 1 3 1 3 4 0.875
1 1 2 2 2 2 2 1 0.500
1 1 3 3 2 2 2 3 0.833
2 1 2 3 1 2 1 4 0.875
2 2 3 1 3 3 3 2 0.750
1 3 1 1 1 1 1 3 0.833
3 1 2 2 1 1 1 3 0.833
3 3 1 1 1 3 1 1 0.500
1 3 1 2 3 2 3 1 0.500
2 2 2 1 2 1 2 2 0.750
3 2 2 1 1 2 1 2 0.750
3 1 2 3 1 2 1 3 0.833
1 3 3 1 1 3 1 2 0.750
1 3 1 1 3 3 3 2 0.750
1 1 1 1 3 3 3 2 0.750
2 1 1 2 3 3 3 3 0.833
1 1 3 2 2 2 2 2 0.750
2 3 2 2 3 3 3 3 0.833
1 2 1 2 1 2 1 2 0.750
2 1 1 1 2 2 2 1 0.500
3 1 2 1 1 2 1 1 0.500
1 1 3 1 2 2 2 3 0.833
1 3 3 2 3 2 3 1 0.500
1 3 3 1 2 1 2 1 0.500
2 3 3 1 1 3 1 2 0.750
2 2 2 1 1 3 1 2 0.750
2 1 2 3 1 3 1 2 0.750
1 3 1 3 2 3 2 1 0.500
1 1 2 2 3 2 3 4 0.875
1 2 2 3 1 2 1 2 0.750
2 3 2 3 2 1 2 1 0.500
1 2 1 2 3 2 3 1 0.500
1 1 3 1 3 3 3 3 0.833
1 3 2 1 1 3 1 1 0.500
3 1 3 3 2 3 2 1 0.500
3 2 3 1 2 1 2 4 0.875
2 3 2 3 2 3 2 1 0.500
3 1 2 1 2 2 2 2 0.750
3 2 1 1 1 2 1 2 0.750
2 3 2 2 2 2 2 2 0.750
1 3 3 2 1 2 1 1 0.500
1 3 3 1 1 2 1 1 0.500
2 3 2 2 3 2 3 1 0.500
3 2 3 2 3 2 3 2 0.750
1 2 1 3 1 1 1 2 0.750
3 2 3 1 3 3 3 1 0.500
1 2 2 2 3 1 3 2 0.750
1 1 2 3 1 2 1 1 0.500
2 2 2 1 2 2 2 2 0.750
